arm,cell,Q,n,rep,method,seconds,peak_bytes
discrete,2-2-5,100,8000,7,cf1_lp,0.0038051400042604,66808
discrete,2-2-5,100,8000,7,slack_lp,0.0048520609998377,150238
discrete,2-2-5,100,8000,8,stats_all,0.0159356689982814,155180
discrete,2-2-5,100,8000,8,cf1_lp,0.0036430570035008,66808
discrete,2-2-5,100,8000,8,slack_lp,0.004575521001243,150238
discrete,2-2-5,100,8000,9,stats_all,0.0147736779981642,155248
discrete,2-2-5,100,8000,9,cf1_lp,0.0036492220024229,66808
discrete,2-2-5,100,8000,9,slack_lp,0.0043865719999303,150238
discrete,2-2-5,100,8000,10,stats_all,0.0157429809987661,155236
discrete,2-2-5,100,8000,10,cf1_lp,0.0037764950029668,66808
discrete,2-2-5,100,8000,10,slack_lp,0.004612022996298,150238
discrete,2-2-5,100,8000,11,stats_all,0.0140671170011046,155204
discrete,2-2-5,100,8000,11,cf1_lp,0.0035214939998695,66808
discrete,2-2-5,100,8000,11,slack_lp,0.0042874240025412,150238
discrete,2-2-5,100,8000,12,stats_all,0.0158445909983129,155320
discrete,2-2-5,100,8000,12,cf1_lp,0.0035726109999814,66808
discrete,2-2-5,100,8000,12,slack_lp,0.0043102459967485,150238
discrete,2-2-5,100,8000,13,stats_all,0.0165619620020152,155236
discrete,2-2-5,100,8000,13,cf1_lp,0.0041866379979182,66808
discrete,2-2-5,100,8000,13,slack_lp,0.005691177000699,150238
discrete,2-2-5,100,8000,14,stats_all,0.0160900530026992,155234
discrete,2-2-5,100,8000,14,cf1_lp,0.0037017619979451,66808
discrete,2-2-5,100,8000,14,slack_lp,0.0046222710006986,150238
discrete,2-2-5,100,8000,15,stats_all,0.0165622390049975,155204
discrete,2-2-5,100,8000,15,cf1_lp,0.0042675919976318,66808
discrete,2-2-5,100,8000,15,slack_lp,0.0045596300042234,150238
discrete,2-2-5,100,8000,16,stats_all,0.018053490006423,155256
discrete,2-2-5,100,8000,16,cf1_lp,0.0035230419962317,66808
discrete,2-2-5,100,8000,16,slack_lp,0.0043227089990978,150238
discrete,2-2-5,100,8000,17,stats_all,0.0167239189977408,155190
discrete,2-2-5,100,8000,17,cf1_lp,0.0045038829994155,66808
discrete,2-2-5,100,8000,17,slack_lp,0.0046835960019961,150238
discrete,2-2-5,100,8000,18,stats_all,0.017339690006338,155234
discrete,2-2-5,100,8000,18,cf1_lp,0.0035226680047344,66808
discrete,2-2-5,100,8000,18,slack_lp,0.0047568049994879,150238
discrete,2-2-5,100,8000,19,stats_all,0.0161299019964644,155236
discrete,2-2-5,100,8000,19,cf1_lp,0.0038659569981973,66808
discrete,2-2-5,100,8000,19,slack_lp,0.0051633439943543,150238
discrete,2-2-8,256,500,0,stats_all,0.0247525240047252,522622
discrete,2-2-8,256,500,0,cf1_lp,0.0069327969977166,233368
discrete,2-2-8,256,500,0,slack_lp,0.0080861599999479,516318
discrete,2-2-8,256,500,1,stats_all,0.0217096839987789,522432
discrete,2-2-8,256,500,1,cf1_lp,0.0068808639989583,233368
discrete,2-2-8,256,500,1,slack_lp,0.0086917110020294,516318
discrete,2-2-8,256,500,2,stats_all,0.0275002579946885,522508
discrete,2-2-8,256,500,2,cf1_lp,0.0068570700022974,233368
discrete,2-2-8,256,500,2,slack_lp,0.0089326349989278,516318
discrete,2-2-8,256,500,3,stats_all,0.0202234469979885,522720
discrete,2-2-8,256,500,3,cf1_lp,0.0067281170049682,233368
discrete,2-2-8,256,500,3,slack_lp,0.008551710001484,516318
discrete,2-2-8,256,500,4,stats_all,0.0249613920022966,522660
discrete,2-2-8,256,500,4,cf1_lp,0.0070384200007538,233368
discrete,2-2-8,256,500,4,slack_lp,0.0080512310014455,516318
discrete,2-2-8,256,500,5,stats_all,0.0248218289998476,522636
discrete,2-2-8,256,500,5,cf1_lp,0.0064978689988492,233368
discrete,2-2-8,256,500,5,slack_lp,0.0084993069976917,516318
discrete,2-2-8,256,500,6,stats_all,0.0258639000021503,522778
discrete,2-2-8,256,500,6,cf1_lp,0.0061802359996363,233368
discrete,2-2-8,256,500,6,slack_lp,0.0087173380015883,516318
discrete,2-2-8,256,500,7,stats_all,0.0243793720001122,522708
discrete,2-2-8,256,500,7,cf1_lp,0.0067482079975889,233368
discrete,2-2-8,256,500,7,slack_lp,0.0089902670006267,516318
discrete,2-2-8,256,500,8,stats_all,0.0235696329982602,522650
discrete,2-2-8,256,500,8,cf1_lp,0.0071707630049786,233368
discrete,2-2-8,256,500,8,slack_lp,0.0089616210025269,516318
discrete,2-2-8,256,500,9,stats_all,0.0213077299995347,522630
discrete,2-2-8,256,500,9,cf1_lp,0.0063386480032932,233368
discrete,2-2-8,256,500,9,slack_lp,0.00784718599607,516318
discrete,2-2-8,256,500,10,stats_all,0.0247511449997546,522706
discrete,2-2-8,256,500,10,cf1_lp,0.0068376720009837,233368
