cell,adv_id,tail_env,n,seed,feas_contam,stat,engine,stat_obs
2-2-5,A1_two_null_mixture,none,2000,900039,,kl_crossfit,none,6.72276446469556e-05
2-2-5,A1_two_null_mixture,none,2000,900039,,cf1_margin,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900039,,slack_plugin,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900039,,gm_battery,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900039,,gtest,none,898.5075827150026
2-2-5,A1_two_null_mixture,none,2000,900040,,kl_plugin,none,1.0836883213480287e-08
2-2-5,A1_two_null_mixture,none,2000,900040,,kl_split,none,0.007326001232581453
2-2-5,A1_two_null_mixture,none,2000,900040,,kl_crossfit,none,0.005423868376473812
2-2-5,A1_two_null_mixture,none,2000,900040,,cf1_margin,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900040,,slack_plugin,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900040,,gm_battery,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900040,,gtest,none,193.40351134197977
2-2-5,A1_two_null_mixture,none,2000,900041,,kl_plugin,none,0.0001755328161928537
2-2-5,A1_two_null_mixture,none,2000,900041,,kl_split,none,0.002021221815752889
2-2-5,A1_two_null_mixture,none,2000,900041,,kl_crossfit,none,0.0017649920548904133
2-2-5,A1_two_null_mixture,none,2000,900041,,cf1_margin,none,0.013248664177956115
2-2-5,A1_two_null_mixture,none,2000,900041,,slack_plugin,none,0.02649732835591212
2-2-5,A1_two_null_mixture,none,2000,900041,,gm_battery,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900041,,gtest,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900042,,kl_plugin,none,1.9890168765050937e-16
2-2-5,A1_two_null_mixture,none,2000,900042,,kl_split,none,0.0009407879746534745
2-2-5,A1_two_null_mixture,none,2000,900042,,kl_crossfit,none,0.0009408441962200542
2-2-5,A1_two_null_mixture,none,2000,900042,,cf1_margin,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900042,,slack_plugin,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900042,,gm_battery,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900042,,gtest,none,2772.588722239781
2-2-5,A1_two_null_mixture,none,2000,900043,,kl_plugin,none,5.437827059388522e-17
2-2-5,A1_two_null_mixture,none,2000,900043,,kl_split,none,0.005927393681193986
2-2-5,A1_two_null_mixture,none,2000,900043,,kl_crossfit,none,0.005931798926147772
2-2-5,A1_two_null_mixture,none,2000,900043,,cf1_margin,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900043,,slack_plugin,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900043,,gm_battery,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900043,,gtest,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900044,,kl_plugin,none,0.0002546697122936016
2-2-5,A1_two_null_mixture,none,2000,900044,,kl_split,none,0.004116577501480326
2-2-5,A1_two_null_mixture,none,2000,900044,,kl_crossfit,none,0.004757948702042051
2-2-5,A1_two_null_mixture,none,2000,900044,,cf1_margin,none,0.015957531688998383
2-2-5,A1_two_null_mixture,none,2000,900044,,slack_plugin,none,0.031915063377996766
2-2-5,A1_two_null_mixture,none,2000,900044,,gm_battery,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900044,,gtest,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900045,,kl_plugin,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900045,,kl_split,none,0.0007267018363195446
2-2-5,A1_two_null_mixture,none,2000,900045,,kl_crossfit,none,0.0007266870731098135
2-2-5,A1_two_null_mixture,none,2000,900045,,cf1_margin,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900045,,slack_plugin,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900045,,gm_battery,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900045,,gtest,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900046,,kl_plugin,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900046,,kl_split,none,0.0024500945020233416
2-2-5,A1_two_null_mixture,none,2000,900046,,kl_crossfit,none,0.002452841405540444
2-2-5,A1_two_null_mixture,none,2000,900046,,cf1_margin,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900046,,slack_plugin,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900046,,gm_battery,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900046,,gtest,none,1269.5988088833114
2-2-5,A1_two_null_mixture,none,2000,900047,,kl_plugin,none,0.0
2-2-5,A1_two_null_mixture,none,2000,900047,,kl_split,none,0.012398403454957463
