cell,adv_id,tail_env,n,seed,feas_contam,stat,engine,stat_obs
2-2-4,A3_bursty_u_on_y,t3,2000,900023,,cf1_margin,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900023,,slack_plugin,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900023,,gm_battery,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900023,,gtest,none,766.8545372466651
2-2-4,A3_bursty_u_on_y,t3,2000,900024,,kl_plugin,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900024,,kl_split,none,8.00487765574608e-06
2-2-4,A3_bursty_u_on_y,t3,2000,900024,,kl_crossfit,none,8.004621359347045e-06
2-2-4,A3_bursty_u_on_y,t3,2000,900024,,cf1_margin,none,1.0
2-2-4,A3_bursty_u_on_y,t3,2000,900024,,slack_plugin,none,1.0
2-2-4,A3_bursty_u_on_y,t3,2000,900024,,gm_battery,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900024,,gtest,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900025,,kl_plugin,none,0.0011604387377634993
2-2-4,A3_bursty_u_on_y,t3,2000,900025,,kl_split,none,0.0006351155501420763
2-2-4,A3_bursty_u_on_y,t3,2000,900025,,kl_crossfit,none,0.002140981291203844
2-2-4,A3_bursty_u_on_y,t3,2000,900025,,cf1_margin,none,0.03404974399449534
2-2-4,A3_bursty_u_on_y,t3,2000,900025,,slack_plugin,none,0.06809948798899068
2-2-4,A3_bursty_u_on_y,t3,2000,900025,,gm_battery,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900025,,gtest,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900026,,kl_plugin,none,0.00012125951683147462
2-2-4,A3_bursty_u_on_y,t3,2000,900026,,kl_split,none,2.2465578608676453
2-2-4,A3_bursty_u_on_y,t3,2000,900026,,kl_crossfit,none,2.229251989014699
2-2-4,A3_bursty_u_on_y,t3,2000,900026,,cf1_margin,none,0.011011011011010985
2-2-4,A3_bursty_u_on_y,t3,2000,900026,,slack_plugin,none,0.02202202202202197
2-2-4,A3_bursty_u_on_y,t3,2000,900026,,gm_battery,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900026,,gtest,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900027,,kl_plugin,none,0.001456516531368541
2-2-4,A3_bursty_u_on_y,t3,2000,900027,,kl_split,none,0.003865819109063723
2-2-4,A3_bursty_u_on_y,t3,2000,900027,,kl_crossfit,none,0.0027829670481474
2-2-4,A3_bursty_u_on_y,t3,2000,900027,,cf1_margin,none,0.038159693507282544
2-2-4,A3_bursty_u_on_y,t3,2000,900027,,slack_plugin,none,0.0763193870145652
2-2-4,A3_bursty_u_on_y,t3,2000,900027,,gm_battery,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900027,,gtest,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900028,,kl_plugin,none,0.00014310669574064266
2-2-4,A3_bursty_u_on_y,t3,2000,900028,,kl_split,none,0.003327423849611391
2-2-4,A3_bursty_u_on_y,t3,2000,900028,,kl_crossfit,none,0.0026576568842688643
2-2-4,A3_bursty_u_on_y,t3,2000,900028,,cf1_margin,none,0.011961722488038284
2-2-4,A3_bursty_u_on_y,t3,2000,900028,,slack_plugin,none,0.02392344497607657
2-2-4,A3_bursty_u_on_y,t3,2000,900028,,gm_battery,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900028,,gtest,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900029,,kl_plugin,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900029,,kl_split,none,0.04752753094472536
2-2-4,A3_bursty_u_on_y,t3,2000,900029,,kl_crossfit,none,0.04710815807237424
2-2-4,A3_bursty_u_on_y,t3,2000,900029,,cf1_margin,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900029,,slack_plugin,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900029,,gm_battery,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900029,,gtest,none,667.8869744005578
2-2-4,A3_bursty_u_on_y,t3,2000,900030,,kl_plugin,none,5.5102981001616227e-17
2-2-4,A3_bursty_u_on_y,t3,2000,900030,,kl_split,none,0.006930794683786011
2-2-4,A3_bursty_u_on_y,t3,2000,900030,,kl_crossfit,none,0.006928790642947647
2-2-4,A3_bursty_u_on_y,t3,2000,900030,,cf1_margin,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900030,,slack_plugin,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900030,,gm_battery,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900030,,gtest,none,2757.080670215777
2-2-4,A3_bursty_u_on_y,t3,2000,900031,,kl_plugin,none,0.002895835463583577
2-2-4,A3_bursty_u_on_y,t3,2000,900031,,kl_split,none,0.018358741000351064
2-2-4,A3_bursty_u_on_y,t3,2000,900031,,kl_crossfit,none,0.012045835917534796
2-2-4,A3_bursty_u_on_y,t3,2000,900031,,cf1_margin,none,0.05371577189638099
2-2-4,A3_bursty_u_on_y,t3,2000,900031,,slack_plugin,none,0.10743154379276199
2-2-4,A3_bursty_u_on_y,t3,2000,900031,,gm_battery,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900031,,gtest,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900032,,kl_plugin,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900032,,kl_split,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900032,,kl_crossfit,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900032,,cf1_margin,none,0.0
2-2-4,A3_bursty_u_on_y,t3,2000,900032,,slack_plugin,none,0.0
